distance,counts
bg,438
bg,445
bg,460
bg,469
bg,457
bg,478
bg,466
bg,494
bg,434
bg,481
bg,444
bg,458
bg,459
bg,453
bg,488
bg,423
bg,468
bg,445
bg,459
bg,482
bg,458
bg,469
bg,501
bg,479
bg,436
bg,472
bg,489
bg,488
bg,474
bg,448
bg,486
bg,478
bg,491
bg,436
bg,466
bg,472
bg,443
bg,471
bg,446
bg,496
bg,489
bg,490
bg,452
bg,465
bg,481
bg,439
bg,453
bg,476
bg,441
bg,444
bg,465
bg,513
bg,462
bg,492
bg,465
4.3,4094
4.3,4200
4.3,4030
4.3,4211
4.3,4316
4.3,4173
4.3,4111
4.3,4122
4.3,4125
4.3,4179
4.3,4169
4.3,4222
4.3,4165
4.3,4086
4.3,4097
4.3,4094
4.3,3984
4.3,4104
4.3,4193
4.3,4059
4.3,4225
4.3,3963
4.3,4073
4.3,4020
4.3,4335
4.3,4071
4.3,4094
4.3,4103
4.3,4134
4.3,4048
4.3,4185
4.3,4212
4.3,4073
4.3,4146
4.3,4033
4.3,4089
4.3,4074
4.3,4082
4.3,4157
4.3,4181
4.3,4084
4.3,4152
4.3,4064
4.3,4088
4.3,4013
4.3,4146
4.3,4043
4.3,4048
4.3,4129
4.3,4165
4.3,4117
4.3,4140
4.3,4077
4.3,4111
4.3,4102
4.3,4133
4.3,4084
4.3,4114
4.3,3993
4.3,4136
4.3,4169
4.3,4018
4.3,4139
10.9,1447
10.9,1543
10.9,1445
10.9,1516
10.9,1400
10.9,1531
10.9,1516
10.9,1536
10.9,1520
10.9,1481
10.9,1516
10.9,1451
10.9,1489
10.9,1509
10.9,1468
10.9,1541
10.9,1587
10.9,1448
10.9,1487
10.9,1494
10.9,1476
10.9,1525
10.9,1466
10.9,1511
10.9,1507
10.9,1445
10.9,1552
10.9,1472
10.9,1492
10.9,1500
10.9,1516
10.9,1507
10.9,1428
10.9,1539
10.9,1450
10.9,1455
10.9,1444
10.9,1438
10.9,1466
10.9,1558
10.9,1483
18.7,887
18.7,897
18.7,847
18.7,852
18.7,884
18.7,912
18.7,878
18.7,861
18.7,846
18.7,893
18.7,845
18.7,917
18.7,933
18.7,886
18.7,924
18.7,936
18.7,867
18.7,902
18.7,883
18.7,919
18.7,875
18.7,892
18.7,934
18.7,959
18.7,902
18.7,856
18.7,898
18.7,891
18.7,865
18.7,873
18.7,909
18.7,905
18.7,931
18.7,892
18.7,911
18.7,849
18.7,914
18.7,925
18.7,909
18.7,918
18.7,847
18.7,924
18.7,851
18.7,914
18.7,883
18.7,897
18.7,947
18.7,850
18.7,872
18.7,912
18.7,890
18.7,848
18.7,943
18.7,896
18.7,886
18.7,902
18.7,899
18.7,883
18.7,866
18.7,840
18.7,873
18.7,892
18.7,840
18.7,923
29.8,637
29.8,674
29.8,663
29.8,656
29.8,680
29.8,634
29.8,615
29.8,602
29.8,668
29.8,644
29.8,629
29.8,662
29.8,663
29.8,678
29.8,689
29.8,659
29.8,652
29.8,638
29.8,654
29.8,674
29.8,642
29.8,616
29.8,705
29.8,646
29.8,685
29.8,636
29.8,654
29.8,656
29.8,642
29.8,619
29.8,634
29.8,641
29.8,638
29.8,616
29.8,641
29.8,669
29.8,667
29.8,635
29.8,620
29.8,700
29.8,675
29.8,651
29.8,658
29.8,639
29.8,646
29.8,665
29.8,663
29.8,678
29.8,618
