element,peak,roi_start,roi_end,gross,net,energy,fwhm,Detector,Voltage,Course Gain,Fine Gain,Notes
Ba-133,1,72,88,47645,14531,81,9,NaI,800,8,1.24,
Ba-133,2,107,129,9505,3444,118,14,NaI,800,8,1.24,
Ba-133,3,291,317,9500,1463,304.4,11.2,NaI,800,8,1.24,
Ba-133,4,344,371,23786,4714,358.1,17.6,NaI,800,8,1.24,
Cs-137,1,8,27,6471,4260,21,4,NaI,800,8,1.24,"In channels, not KeV"
Cs-137,2,370,455,21294,20820,414,29,NaI,800,8,1.24,"In channels, not KeV"
Co-57,1,112,148,1720,1203,126,14,NaI,800,8,1.24,
Na-22,1,459,563,14195,12907,512,41,NaI,800,8,1.24,
Na-22,2,1195,1316,2047,1698,1251,59,NaI,800,8,1.24,
Unknown,1,6,44,5408,3457,34,6,NaI,800,8,1.24,
Unknown,2,587,722,17474,17004,661,48,NaI,800,8,1.24,
Mn-54,1,764,877,708,671,825,38,NaI,800,8,1.24,
Cd-109,1,64,107,1271,878,87,11,NaI,800,8,1.24,
Co-60,1,1082,1223,5904,4391,1149,56,NaI,800,8,1.24,
Co-60,2,1125,1390,4420,3899,1307,59,NaI,800,8,1.24,
